,Run,Object,RA,Dec,Equinox,UT,Airm,Instr,Texp sec,Sky PA,Filters etc.,Slit,Grat,CenwA,Comments,night,date,mjd,RA_deg,Dec_deg,search_group
0,1601822,NEREUS,15:05:18.19,-22:00:02.0,2000.0,04:11,1.72,3  WFC,60.0,180.0,B,,,,mirror closed,20220302,20220303,59641.174305555556,226.32579166666665,-22.000555555555554,0.0
1,1601823,NEREUS,15:05:18.15,-22:00:02.3,2000.0,04:14,1.71,3  WFC,59.6,180.0,B,,,,,20220302,20220303,59641.17638888889,226.32562499999997,-22.00063888888889,0.0
2,1601824,NEREUS,15:05:18.10,-22:00:02.6,2000.0,04:16,1.7,4  WFC,60.1,180.0,R,,,,,20220302,20220303,59641.177777777775,226.32541666666665,-22.000722222222223,0.0
3,1601825,NEREUS,15:05:18.06,-22:00:03.0,2000.0,04:19,1.69,6  WFC,59.5,180.0,R,,,,looking for asteriod,20220302,20220303,59641.17986111111,226.32524999999998,-22.000833333333333,0.0
4,1601826,NEREUS,15:05:18.02,-22:00:03.3,2000.0,04:22,1.68,7  WFC,60.1,180.0,V,,,,,20220302,20220303,59641.18194444444,226.3250833333333,-22.000916666666665,0.0
5,1601827,NEREUS,15:05:17.99,-22:00:03.4,2000.0,04:23,1.68,3  WFC,60.1,180.0,R,,,,,20220302,20220303,59641.18263888889,226.3249583333333,-22.000944444444446,0.0
6,1601828,NEREUS,15:05:17.97,-22:00:03.6,2000.0,04:24,1.67,8  WFC,60.0,180.0,z,,,,,20220302,20220303,59641.183333333334,226.324875,-22.001,0.0
7,1601829,NEREUS,15:05:17.93,-22:00:03.9,2000.0,04:27,1.67,2  WFC,60.1,180.0,R,,,,,20220302,20220303,59641.18541666667,226.32470833333332,-22.001083333333334,0.0
8,1601830,NEREUS,15:05:17.91,-22:00:04.1,2000.0,04:28,1.66,7  WFC,60.0,180.0,B,,,,,20220302,20220303,59641.186111111114,226.32462499999997,-22.00113888888889,0.0
9,1601831,NEREUS,15:05:17.89,-22:00:04.2,2000.0,04:30,1.66,3  WFC,60.0,180.0,R,,,,,20220302,20220303,59641.1875,226.32454166666665,-22.001166666666666,0.0
10,1601832,NEREUS,15:05:17.86,-22:00:04.3,2000.0,04:31,1.66,0  WFC,60.1,180.0,V,,,,,20220302,20220303,59641.18819444445,226.32441666666665,-22.001194444444444,0.0
11,1601833,NEREUS,15:05:17.84,-22:00:04.5,2000.0,04:32,1.65,6  WFC,60.1,180.0,R,,,,,20220302,20220303,59641.188888888886,226.32433333333333,-22.00125,0.0
12,1601834,NEREUS,15:05:17.82,-22:00:04.7,2000.0,04:34,1.65,3  WFC,60.0,180.0,z,,,,,20220302,20220303,59641.19027777778,226.32424999999998,-22.001305555555554,0.0
13,1601835,NEREUS,15:05:17.80,-22:00:04.9,2000.0,04:35,1.65,0  WFC,60.0,180.0,R,,,,,20220302,20220303,59641.19097222222,226.32416666666663,-22.001361111111112,0.0
14,1601836,NEREUS,15:05:17.77,-22:00:05.1,2000.0,04:37,1.64,5  WFC,60.0,180.0,B,,,,,20220302,20220303,59641.19236111111,226.32404166666663,-22.001416666666668,0.0
15,1601837,NEREUS,15:05:17.74,-22:00:05.3,2000.0,04:38,1.64,2  WFC,60.0,180.0,R,,,,,20220302,20220303,59641.19305555556,226.32391666666666,-22.001472222222223,0.0
16,1601838,NEREUS,15:05:17.72,-22:00:05.4,2000.0,04:40,1.63,9  WFC,60.0,180.0,V,,,,,20220302,20220303,59641.194444444445,226.3238333333333,-22.0015,0.0
17,1601839,NEREUS,15:05:17.70,-22:00:05.6,2000.0,04:41,1.63,6  WFC,59.6,180.0,R,,,,,20220302,20220303,59641.19513888889,226.32375,-22.001555555555555,0.0
18,1601840,NEREUS,15:05:17.68,-22:00:05.8,2000.0,04:42,1.63,3  WFC,59.5,180.0,z,,,,,20220302,20220303,59641.19583333333,226.32366666666664,-22.00161111111111,0.0
19,1601841,NEREUS,15:05:17.65,-22:00:06.0,2000.0,04:44,1.63,0  WFC,59.6,180.0,R,,,,,20220302,20220303,59641.197222222225,226.32354166666664,-22.001666666666665,0.0
20,1601842,98943,18:03:53.80,-03:22:40.9,2000.0,04:46,2.18,4  WFC,60.1,180.0,B,,,,,20220302,20220303,59641.19861111111,270.97416666666663,-3.3780277777777776,1.0
21,1601843,98943,18:03:53.80,-03:22:41.0,2000.0,04:48,2.16,5  WFC,59.6,180.0,B,,,,finding,20220302,20220303,59641.2,270.97416666666663,-3.3780555555555556,1.0
22,1601844,98943,18:03:53.87,-03:22:41.1,2000.0,04:51,2.11,6  WFC,60.1,180.0,B,,,,,20220302,20220303,59641.20208333333,270.9744583333333,-3.3780833333333335,1.0
23,1601845,98943,18:03:54.09,-03:22:41.6,2000.0,04:52,2.09,6  WFC,59.6,180.0,R,,,,,20220302,20220303,59641.20277777778,270.975375,-3.3782222222222225,1.0
24,1601846,98943,18:03:54.30,-03:22:42.1,2000.0,04:54,2.07,8  WFC,60.1,180.0,V,,,,,20220302,20220303,59641.20416666667,270.97625,-3.378361111111111,1.0
25,1601847,98943,18:03:54.50,-03:22:42.6,2000.0,04:55,2.06,0  WFC,59.6,180.0,R,,,,,20220302,20220303,59641.20486111111,270.9770833333333,-3.3785,1.0
26,1601848,98943,18:03:54.71,-03:22:43.1,2000.0,04:56,2.04,3  WFC,60.0,180.0,z,,,,,20220302,20220303,59641.205555555556,270.97795833333333,-3.3786388888888887,1.0
27,1601849,98943,18:03:54.92,-03:22:43.6,2000.0,04:58,2.02,6  WFC,60.1,180.0,R,,,,,20220302,20220303,59641.20694444444,270.9788333333333,-3.3787777777777777,1.0
28,1601850,98943,18:03:55.21,-03:22:44.2,2000.0,05:00,2.0,3  WFC,60.0,180.0,B,,,,,20220302,20220303,59641.208333333336,270.98004166666664,-3.3789444444444445,1.0
29,1601851,98943,18:03:55.43,-03:22:44.8,2000.0,05:01,1.98,6  WFC,60.1,180.0,R,,,,,20220302,20220303,59641.209027777775,270.9809583333333,-3.379111111111111,1.0
30,1601852,98943,18:03:55.64,-03:22:45.3,2000.0,05:02,1.97,0  WFC,60.0,180.0,V,,,,,20220302,20220303,59641.20972222222,270.98183333333327,-3.37925,1.0
31,1601853,98943,18:03:55.85,-03:22:45.7,2000.0,05:04,1.95,4  WFC,60.1,180.0,R,,,,,20220302,20220303,59641.21111111111,270.98270833333333,-3.3793611111111113,1.0
32,1601854,98943,18:03:56.06,-03:22:46.2,2000.0,05:05,1.93,9  WFC,60.1,180.0,z,,,,,20220302,20220303,59641.211805555555,270.9835833333333,-3.3795,1.0
33,1601855,98943,18:03:56.27,-03:22:46.6,2000.0,05:06,1.92,3  WFC,60.2,180.0,R,,,,,20220302,20220303,59641.2125,270.98445833333335,-3.379611111111111,1.0
34,1601856,98943,18:03:56.73,-03:22:47.7,2000.0,05:10,1.89,1  WFC,60.1,180.0,B,,,,,20220302,20220303,59641.21527777778,270.986375,-3.379916666666667,1.0
35,1601857,98943,18:03:56.95,-03:22:48.2,2000.0,05:11,1.87,6  WFC,60.1,180.0,R,,,,,20220302,20220303,59641.21597222222,270.9872916666667,-3.3800555555555554,1.0
36,1601858,98943,18:03:57.16,-03:22:48.8,2000.0,05:12,1.86,2  WFC,60.1,180.0,V,,,,,20220302,20220303,59641.21666666667,270.98816666666664,-3.3802222222222222,1.0
37,1601859,98943,18:03:57.37,-03:22:49.3,2000.0,05:14,1.84,9  WFC,60.0,180.0,R,,,,,20220302,20220303,59641.21805555555,270.9890416666666,-3.380361111111111,1.0
38,1601860,98943,18:03:57.58,-03:22:49.8,2000.0,05:15,1.83,5  WFC,60.1,180.0,z,,,,,20220302,20220303,59641.21875,270.98991666666666,-3.3805,1.0
39,1601861,98943,18:03:57.80,-03:22:50.2,2000.0,05:16,1.82,2  WFC,60.0,180.0,R,,,,,20220302,20220303,59641.21944444445,270.99083333333334,-3.380611111111111,1.0
40,1601862,98943,18:03:58.23,-03:22:51.4,2000.0,05:19,1.79,6  WFC,60.1,180.0,B,,,,,20220302,20220303,59641.22152777778,270.992625,-3.3809444444444443,1.0
41,1601863,98943,18:03:58.45,-03:22:51.8,2000.0,05:21,1.78,3  WFC,60.0,180.0,R,,,,,20220302,20220303,59641.222916666666,270.99354166666666,-3.3810555555555557,1.0
42,1601864,98943,18:03:58.65,-03:22:52.3,2000.0,05:22,1.77,1  WFC,60.0,180.0,V,,,,,20220302,20220303,59641.22361111111,270.994375,-3.3811944444444446,1.0
43,1601865,98943,18:03:58.87,-03:22:52.8,2000.0,05:23,1.75,9  WFC,59.5,180.0,R,,,,,20220302,20220303,59641.22430555556,270.9952916666667,-3.3813333333333335,1.0
44,1601866,98943,18:03:59.08,-03:22:53.3,2000.0,05:25,1.74,8  WFC,60.0,180.0,z,,,,,20220302,20220303,59641.225694444445,270.9961666666666,-3.3814722222222224,1.0
