,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,143P,18.711492916666664,11.383055555555556,Comet,22.7,0.28,21.265,-9.4757,-5.653,5.30436735526,6.02481877118,6.74,134.11,5.313797685,2.488519076,1.403867083,-0.002668564,0.004407137,0.001516493,2459910.0
1,,2014 OD439,18.65693375,11.34103,MB>Inner,22.4,0.397,265.994,0.866,0.109,1.35916785875,2.15770491536,19.13,134.04,1.664245376,1.229144674,0.613250401,-0.006372778,0.009527244,0.00473092,2459910.0
2,56653,2000 KS48,18.79394208333333,11.388142499999999,MB>Inner,19.8,0.011,272.817,-4.1126,-10.721,1.64211125142,2.42776573985,16.89,134.18,1.922470876,1.323700663,0.676990565,-0.005481198,0.00886151,0.002753061,2459910.0
3,,2010 TM236,18.805427916666666,11.345879444444446,MB>Outer,22.2,0.068,345.093,-10.8623,-0.467,2.56281685016,3.3190434494,12.28,134.18,2.775197619,1.623410725,0.850494362,-0.004959465,0.00642043,0.004623149,2459910.0
4,81353,2000 GP50,18.635401666666663,11.319128055555556,MB>Middle,20.6,0.044,374.661,-13.56,5.125,1.68118710448,2.46371822991,16.69,134.02,1.967488804,1.341062364,0.673981951,-0.007496365,0.006177728,0.005296648,2459910.0
5,79292,1995 UH11,18.611129583333334,11.357043333333333,MB>Inner,20.2,0.015,386.869,-8.1053,-4.106,1.60767488325,2.39336229569,17.2,134.01,1.895012401,1.311801958,0.665622004,-0.006272365,0.007789517,0.003834672,2459910.0
6,578666,2014 EE99,18.643434999999997,11.297576388888888,MB>Outer,22.0,0.037,410.289,-7.5304,-9.706,2.2627469307,3.02508110327,13.53,134.02,2.503350189,1.51973214,0.798675181,-0.006198664,0.007302403,0.001975756,2459910.0
7,,2022 ST152,18.63427458333333,11.490571666666666,MB>Middle,21.8,0.041,475.41,-4.976,-13.744,1.7561423414,2.53603288344,16.18,134.07,2.037606103,1.358755495,0.707039717,-0.007922182,0.007756128,0.001453654,2459910.0
8,145746,1995 UR18,18.687358333333332,11.515507222222222,MB>Inner,20.6,0.031,477.265,-5.3957,-2.728,1.50927310497,2.30061531155,17.87,134.13,1.800238425,1.279833414,0.648667955,-0.005704261,0.008602305,0.004322076,2459910.0
9,,2009 DG100,18.85525375,11.305785277777778,MB>Outer,21.5,0.031,568.195,-9.849,1.028,2.04149882013,2.81234389807,14.52,134.21,2.295956235,1.458715051,0.746016474,-0.006369183,0.006911586,0.004775096,2459910.0
