,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,143P,19.39621958333333,11.759497222222222,Comet,22.6,0.28,13.596,-12.6962,-6.785,5.20702549386,6.02640822832,5.53,143.98,5.340123637,2.444278582,1.388606239,-0.002596577,0.004440854,0.001535636,2459900.0
1,31868,2000 EO97,19.40766208333333,11.801279722222223,MB>Inner,19.8,0.036,150.155,-21.2477,-6.589,1.97224705852,2.82457399978,11.84,144.0,2.358707127,1.38171171,0.719459217,-0.003932705,0.006987648,0.004120125,2459900.0
2,79292,1995 UH11,19.42503083333333,11.71262,MB>Inner,19.9,0.047,192.835,-18.268,-7.603,1.52609776331,2.38980043265,14.03,143.99,1.95568072,1.232526505,0.626574431,-0.005858797,0.008062953,0.003973557,2459900.0
3,,2015 XP274,19.35428333333333,11.791590555555555,MB>Inner,21.9,0.035,196.693,-9.7706,-16.005,1.23004108731,2.10373924821,16.0,143.95,1.690585262,1.128839288,0.573476714,-0.007683022,0.009391246,0.002765535,2459900.0
4,145746,1995 UR18,19.347096249999996,11.790711388888889,MB>Inner,20.3,0.049,216.304,-16.0085,-6.333,1.4196804754,2.28645504455,14.69,143.94,1.855061004,1.192282834,0.604672782,-0.005256501,0.008905246,0.004475677,2459900.0
5,297742,2001 XN12,19.300838749999993,11.775825833333334,MB>Inner,20.9,0.037,353.947,-21.6986,-5.358,1.52974448845,2.39270457019,14.04,143.89,1.967185284,1.236085084,0.628977659,-0.007541449,0.006798821,0.003970918,2459900.0
6,,2022 SZ94,19.35990666666666,11.65261638888889,MB>Outer,21.6,0.07,412.453,-12.4191,-13.336,2.14184641732,2.99005129083,11.2,143.91,2.524911381,1.430182379,0.758116646,-0.005759009,0.008219465,0.00197288,2459900.0
7,,2022 TO26,19.493639999999996,11.85669,MB>Middle,22.2,1.112,478.975,-16.0492,-4.676,1.65327351318,2.51402410318,13.29,144.1,2.073892432,1.275519963,0.654800337,-0.006373529,0.008049829,0.004349451,2459900.0
8,,2016 UD285,19.532745416666664,11.711498888888888,MB>Cybele,21.7,0.042,499.728,-8.2867,-25.39,1.98148851109,2.83425392385,11.77,144.09,2.369644259,1.376159685,0.737587517,-0.004667132,0.009895722,-0.000273321,2459900.0
9,,2008 WB167,19.448035416666663,11.62463638888889,MB>Inner,21.4,0.036,516.744,-4.7687,-6.053,1.05862980286,1.93988773258,17.37,143.98,1.527297152,1.069380155,0.527211695,-0.006523213,0.010694854,0.004642801,2459900.0
10,426785,2013 TZ123,19.579446666666666,11.784001111111111,MB>Middle,21.5,0.008,638.177,-16.4284,-5.368,1.90121096183,2.75620493261,12.09,144.15,2.293655176,1.358788229,0.70302878,-0.004449429,0.008155545,0.004426453,2459900.0
11,,2016 NY52,19.227238333333332,11.707096666666667,MB>Outer,21.5,0.02,638.305,-8.4632,-10.552,1.6083646371,2.46840785067,13.64,143.8,2.03523385,1.247241024,0.645790491,-0.006264411,0.009643602,0.003364396,2459900.0
12,,2014 WB548,19.582455,11.771296111111113,MB>Middle,20.7,0.019,644.268,-0.468,-5.803,0.98224535447,1.86810993544,17.98,144.15,1.462672888,1.046359025,0.515207048,-0.008143221,0.010717776,0.00443606,2459900.0
13,,2015 BQ97,19.19945,11.75418111111111,MB>Middle,21.4,0.04,707.172,-16.2042,-5.698,1.70201590672,2.55938690933,13.15,143.79,2.122390776,1.284372772,0.662988741,-0.006401262,0.007865819,0.004085637,2459900.0
14,538248,2016 CD258,19.59618125,11.6982225,MB>Middle,21.6,0.035,726.668,-19.8283,-2.066,1.84959485887,2.7057040449,12.32,144.14,2.248554921,1.346237442,0.687187586,-0.004937286,0.007314965,0.00501679,2459900.0
15,,2020 HQ182,19.19065833333333,11.821448055555555,MB>Outer,22.4,0.008,769.926,-13.9981,-10.251,2.22545751432,3.07129305007,10.93,143.8,2.598809534,1.451928535,0.777556139,-0.004799328,0.007963773,0.002854154,2459900.0
16,578666,2014 EE99,19.332826666666662,11.97234,MB>Outer,21.8,0.066,799.363,-14.7483,-12.577,2.18553248783,3.03342572412,11.02,143.98,2.564007245,1.445918785,0.778499385,-0.005932101,0.007458725,0.002058918,2459900.0
17,,2017 QO62,19.576506249999998,11.91821861111111,MB>Middle,21.9,0.809,842.721,-12.6338,-12.89,1.72147922908,2.58106726688,12.91,144.19,2.133594926,1.296600451,0.67749573,-0.005911466,0.008813683,0.00278284,2459900.0
18,,2022 SY9,19.662880833333332,11.695040555555556,NEA>Amor,23.7,25.415,955.896,54.9957,2.748,0.43836124051,1.36210814714,24.99,144.21,0.956073762,0.852946542,0.397948105,-0.006925927,0.014375659,0.005792369,2459900.0
